src,dst,proto,ttl,inbound,srcport,dstport,length,time_delta,time_relative,flags,outbound_pkt_count,inbound_pkt_count,pkt_count_diff,outbound_bytes,inbound_bytes,bytes_diff,outbound_bytes_mean,inbound_bytes_mean,transaction_duration,inbound_avg_interpacket_time,outbound_avg_interpacket_time,connections_from_ip_1_seconds,connections_from_ip_port_1_seconds,connections_from_ip_3_seconds,connections_from_ip_port_3_seconds,connections_acked_percentage,connections_outbound_pkts_to_ip,connections_inbound_pkts_to_ip
202.168.12.30,10.128.0.4,6,49,1,64303,22,36,0.000000000,0.000000000,0x00000018,0,1,-1,0,36,-36,0,36.0,0.0008909702301025391,36.0,0,1,1,1,1,0,0,1
10.128.0.4,202.168.12.30,6,64,0,22,64303,36,0.000338788,0.000338788,0x00000018,1,1,0,36,36,0,36.0,36.0,0.005206108093261719,36.0,36.0,2,2,2,2,2.0,1,1
202.168.12.30,10.128.0.4,6,49,1,64303,22,36,0.133070994,0.133409782,0x00000018,1,2,-1,36,72,-36,36.0,36.0,0.011534690856933594,36.0,36.0,3,3,3,3,3.0,1,2
10.128.0.4,202.168.12.30,6,64,0,22,64303,36,0.000303728,0.133713510,0x00000018,2,2,0,72,72,0,36.0,36.0,0.015300989151000977,36.0,36.0,4,4,4,4,2.0,2,2
202.168.12.30,10.128.0.4,6,49,1,64303,22,0,0.073073289,0.206786799,0x00000010,2,3,-1,72,72,0,36.0,24.0,0.018950700759887695,24.0,36.0,5,5,5,5,2.0,2,3
202.168.12.30,10.128.0.4,6,49,1,64303,22,36,0.045692692,0.252479491,0x00000018,2,4,-2,72,108,-36,36.0,27.0,0.25516676902770996,27.0,36.0,6,6,6,6,2.5,2,4
10.128.0.4,202.168.12.30,6,64,0,22,64303,36,0.000221801,0.252701292,0x00000018,3,4,-1,108,108,0,36.0,27.0,0.2602560520172119,27.0,36.0,7,7,7,7,2.0,3,4
10.128.0.4,202.168.12.30,6,64,0,22,64303,2156,0.003301185,0.256002477,0x00000018,4,4,0,2264,108,2156,566.0,27.0,0.2642960548400879,27.0,566.0,8,8,8,8,1.75,4,4
10.128.0.4,202.168.12.30,6,64,0,22,64303,924,0.001661290,0.257663767,0x00000018,5,4,1,3188,108,3080,637.6,27.0,0.26877737045288086,27.0,637.6,9,9,9,9,1.6,5,4
202.168.12.30,10.128.0.4,6,49,1,64303,22,0,0.082793964,0.340457731,0x00000010,5,5,0,3188,108,3080,637.6,21.6,0.2725398540496826,21.6,637.6,10,10,10,10,1.6,5,5
