src,dst,proto,ttl,inbound,srcport,dstport,length,time_delta,time_relative,flags,outbound_pkt_count,inbound_pkt_count,pkt_count_diff,outbound_bytes,inbound_bytes,bytes_diff,outbound_bytes_mean,inbound_bytes_mean,transaction_duration,inbound_avg_interpacket_time,outbound_avg_interpacket_time,connections_from_ip_3_seconds,connections_from_ip_port_3_seconds
203.221.42.137,10.128.0.4,6,49,1,1066,80,52,0.000000000,0.000000000,0x00000002,0,1,-1,0,52,-52,0,52.0,0.000980377197265625,52.0,0,1,1
10.128.0.4,203.221.42.137,6,63,0,80,1066,0,0.000080737,0.000080737,0x00000012,1,1,0,0,52,-52,0.0,52.0,0.004624366760253906,52.0,0.0,2,2
203.221.42.137,10.128.0.4,6,49,1,6199,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0007450580596923828,51.0,0,3,1
10.128.0.4,203.221.42.137,6,63,0,80,6199,0,0.000072111,0.000072111,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.003148794174194336,51.0,0.0,4,2
203.221.42.137,10.128.0.4,6,49,1,6200,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0007557868957519531,50.0,0,5,1
10.128.0.4,203.221.42.137,6,63,0,80,6200,0,0.000062721,0.000062721,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.00428318977355957,50.0,0.0,6,2
203.221.42.137,10.128.0.4,6,49,1,6201,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0007538795471191406,50.0,0,7,1
10.128.0.4,203.221.42.137,6,63,0,80,6201,0,0.000060002,0.000060002,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.0032334327697753906,50.0,0.0,8,2
203.221.42.137,10.128.0.4,6,49,1,6202,80,52,0.000000000,0.000000000,0x00000002,0,1,-1,0,52,-52,0,52.0,0.0007529258728027344,52.0,0,9,1
10.128.0.4,203.221.42.137,6,63,0,80,6202,0,0.000054731,0.000054731,0x00000012,1,1,0,0,52,-52,0.0,52.0,0.003980875015258789,52.0,0.0,10,2
203.221.42.137,10.128.0.4,6,49,1,6203,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0007460117340087891,50.0,0,11,1
10.128.0.4,203.221.42.137,6,63,0,80,6203,0,0.000053453,0.000053453,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.0032567977905273438,50.0,0.0,12,2
203.221.42.137,10.128.0.4,6,49,1,6204,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0007598400115966797,51.0,0,13,1
10.128.0.4,203.221.42.137,6,63,0,80,6204,0,0.000050710,0.000050710,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.0033185482025146484,51.0,0.0,14,2
203.221.42.137,10.128.0.4,6,49,1,6205,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0007407665252685547,50.0,0,15,1
10.128.0.4,203.221.42.137,6,63,0,80,6205,0,0.000045697,0.000045697,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.003230571746826172,50.0,0.0,16,2
203.221.42.137,10.128.0.4,6,49,1,6206,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0007979869842529297,50.0,0,17,1
10.128.0.4,203.221.42.137,6,63,0,80,6206,0,0.000076043,0.000076043,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.004302501678466797,50.0,0.0,18,2
203.221.42.137,10.128.0.4,6,49,1,6207,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.000751495361328125,50.0,0,19,1
10.128.0.4,203.221.42.137,6,63,0,80,6207,0,0.000057080,0.000057080,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.0031735897064208984,50.0,0.0,20,2
