src,dst,proto,ttl,inbound,srcport,dstport,length,time_delta,time_relative,flags,outbound_pkt_count,inbound_pkt_count,pkt_count_diff,outbound_bytes,inbound_bytes,bytes_diff,outbound_bytes_mean,inbound_bytes_mean,transaction_duration,inbound_avg_interpacket_time,outbound_avg_interpacket_time,connections_from_ip_3_seconds,connections_from_ip_port_3_seconds
203.221.42.137,10.128.0.4,6,49,1,58151,22,36,0.000000000,0.000000000,0x00000018,0,1,-1,0,36,-36,0,36.0,0.0012319087982177734,36.0,0,1,1
10.128.0.4,203.221.42.137,6,64,0,22,58151,36,0.000382088,0.000382088,0x00000018,1,1,0,36,36,0,36.0,36.0,0.004197835922241211,36.0,36.0,2,2
203.221.42.137,10.128.0.4,6,49,1,58151,22,36,0.071139966,0.071522054,0x00000018,1,2,-1,36,72,-36,36.0,36.0,0.0069353580474853516,36.0,36.0,3,3
10.128.0.4,203.221.42.137,6,64,0,22,58151,36,0.000303616,0.071825670,0x00000018,2,2,0,72,72,0,36.0,36.0,0.009451150894165039,36.0,36.0,4,4
203.221.42.137,10.128.0.4,6,49,1,58151,22,36,0.105754150,0.177579820,0x00000018,2,3,-1,72,108,-36,36.0,36.0,0.25392675399780273,36.0,36.0,5,5
10.128.0.4,203.221.42.137,6,64,0,22,58151,36,0.003544004,0.181123824,0x00000018,3,3,0,108,108,0,36.0,36.0,0.25760960578918457,36.0,36.0,6,6
10.128.0.4,203.221.42.137,6,64,0,22,58151,300,0.001890098,0.183013922,0x00000018,4,3,1,408,108,300,102.0,36.0,0.26027870178222656,36.0,102.0,7,7
10.128.0.4,203.221.42.137,6,64,0,22,58151,36,0.000074810,0.183088732,0x00000018,5,3,2,444,108,336,88.8,36.0,0.2627999782562256,36.0,88.8,8,8
10.128.0.4,203.221.42.137,6,64,0,22,58151,140,0.000816777,0.183905509,0x00000018,6,3,3,584,108,476,97.33333333333333,36.0,0.2653157711029053,36.0,97.33333333333333,9,9
203.221.42.137,10.128.0.4,6,49,1,58151,22,0,0.024150811,0.208056320,0x00000010,6,4,2,584,108,476,97.33333333333333,27.0,0.2683689594268799,27.0,97.33333333333333,10,10
203.221.42.137,10.128.0.4,6,49,1,58151,22,0,0.069883000,0.277939320,0x00000010,6,5,1,584,108,476,97.33333333333333,21.6,0.2709486484527588,21.6,97.33333333333333,11,11
203.221.42.137,10.128.0.4,6,49,1,58151,22,0,0.110337819,0.388277139,0x00000010,6,6,0,584,108,476,97.33333333333333,18.0,0.2734060287475586,18.0,97.33333333333333,12,12
203.221.42.137,10.128.0.4,6,49,1,58151,22,0,0.004833657,0.393110796,0x00000010,6,7,-1,584,108,476,97.33333333333333,15.428571428571429,0.27586841583251953,15.428571428571429,97.33333333333333,13,13
203.221.42.137,10.128.0.4,6,49,1,58151,22,0,0.000021631,0.393132427,0x00000010,6,8,-2,584,108,476,97.33333333333333,13.5,0.2784457206726074,13.5,97.33333333333333,14,14
203.221.42.137,10.128.0.4,6,49,1,58151,22,0,0.000002781,0.393135208,0x00000010,6,9,-3,584,108,476,97.33333333333333,12.0,0.2812318801879883,12.0,97.33333333333333,15,15
169.254.169.254,10.128.0.4,6,64,1,80,40240,583,0.000000000,0.000000000,0x00000018,0,1,-1,0,583,-583,0,583.0,0.0007395744323730469,583.0,0,1,1
10.128.0.4,169.254.169.254,6,64,0,40240,80,0,0.000057779,0.000057779,0x00000010,1,1,0,0,583,-583,0.0,583.0,0.004369020462036133,583.0,0.0,2,2
169.254.169.254,10.128.0.4,6,64,1,80,40240,0,0.000007472,0.000065251,0x00000011,1,2,-1,0,583,-583,0.0,291.5,0.00684046745300293,291.5,0.0,3,3
