src,dst,proto,ttl,inbound,srcport,dstport,length,time_delta,time_relative,flags,outbound_pkt_count,inbound_pkt_count,pkt_count_diff,outbound_bytes,inbound_bytes,bytes_diff,outbound_bytes_mean,inbound_bytes_mean,transaction_duration,inbound_avg_interpacket_time,outbound_avg_interpacket_time,connections_from_ip_1_seconds,connections_from_ip_port_1_seconds,connections_from_ip_3_seconds,connections_from_ip_port_3_seconds,connections_acked_percentage,connections_outbound_pkts_to_ip,connections_inbound_pkts_to_ip
10.128.0.4,203.221.42.137,6,64,0,80,23281,0,0.000000000,0.000000000,0x00000012,1,0,1,0,0,0,0.0,0,0.0009098052978515625,0,0.0,1,1,1,1,0.0,2,0
10.128.0.4,203.221.42.137,6,64,0,80,23222,0,0.000000000,0.000000000,0x00000012,1,0,1,0,0,0,0.0,0,0.0008761882781982422,0,0.0,2,1,2,1,0.0,4,0
203.221.42.137,10.128.0.4,6,49,1,23129,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0008940696716308594,50.0,0,3,1,3,1,0.0,4,2
10.128.0.4,203.221.42.137,6,64,0,80,23129,0,0.000020576,0.000020576,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.004183053970336914,50.0,0.0,4,2,4,2,0.0,6,2
203.221.42.137,10.128.0.4,6,49,1,23315,80,52,0.000000000,0.000000000,0x00000002,0,1,-1,0,52,-52,0,52.0,0.000946044921875,52.0,0,5,1,5,1,0.0,6,4
10.128.0.4,203.221.42.137,6,64,0,80,23315,0,0.000021864,0.000021864,0x00000012,1,1,0,0,52,-52,0.0,52.0,0.005254030227661133,52.0,0.0,6,2,6,2,0.0,8,4
203.221.42.137,10.128.0.4,6,49,1,23328,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0009386539459228516,51.0,0,7,1,7,1,0.0,8,6
10.128.0.4,203.221.42.137,6,64,0,80,23328,0,0.000033166,0.000033166,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.004116535186767578,51.0,0.0,8,2,8,2,0.0,10,6
203.221.42.137,10.128.0.4,6,49,1,23097,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0009009838104248047,50.0,0,9,1,9,1,0.0,10,8
10.128.0.4,203.221.42.137,6,64,0,80,23097,0,0.000046018,0.000046018,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.005191326141357422,50.0,0.0,10,2,10,2,0.0,12,8
203.221.42.137,10.128.0.4,6,49,1,23208,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0009381771087646484,51.0,0,11,1,11,1,0.0,12,10
10.128.0.4,203.221.42.137,6,64,0,80,23208,0,0.000026409,0.000026409,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.004091739654541016,51.0,0.0,12,2,12,2,0.0,14,10
203.221.42.137,10.128.0.4,6,49,1,23313,80,52,0.000000000,0.000000000,0x00000002,0,1,-1,0,52,-52,0,52.0,0.0009365081787109375,52.0,0,13,1,13,1,0.0,14,12
203.221.42.137,10.128.0.4,6,49,1,23143,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0009145736694335938,50.0,0,14,1,14,1,0.0,14,14
10.128.0.4,203.221.42.137,6,64,0,80,23143,0,0.000030313,0.000030313,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.004132270812988281,50.0,0.0,15,2,15,2,0.0,16,14
203.221.42.137,10.128.0.4,6,49,1,23270,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0009219646453857422,50.0,0,16,1,16,1,0.0,16,16
10.128.0.4,203.221.42.137,6,64,0,80,23270,0,0.000028535,0.000028535,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.004104137420654297,50.0,0.0,17,2,17,2,0.0,18,16
10.128.0.4,203.221.42.137,6,64,0,80,23288,0,0.000000000,0.000000000,0x00000012,1,0,1,0,0,0,0.0,0,0.0009279251098632812,0,0.0,18,1,18,1,0.0,20,16
10.128.0.4,203.221.42.137,6,64,0,80,23155,0,0.000000000,0.000000000,0x00000012,1,0,1,0,0,0,0.0,0,0.0008704662322998047,0,0.0,19,1,19,1,0.0,22,16
203.221.42.137,10.128.0.4,6,49,1,23242,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0008883476257324219,51.0,0,20,1,20,1,0.0,22,18
10.128.0.4,203.221.42.137,6,64,0,80,23242,0,0.000014384,0.000014384,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.00408625602722168,51.0,0.0,21,2,21,2,0.0,24,18
203.221.42.137,10.128.0.4,6,49,1,23109,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0008838176727294922,50.0,0,22,1,22,1,0.0,24,20
10.128.0.4,203.221.42.137,6,64,0,80,23109,0,0.000045595,0.000045595,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.00515294075012207,50.0,0.0,23,2,23,2,0.0,26,20
203.221.42.137,10.128.0.4,6,49,1,23176,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0008852481842041016,51.0,0,24,1,24,1,0.0,26,22
10.128.0.4,203.221.42.137,6,64,0,80,23176,0,0.000030920,0.000030920,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.004039287567138672,51.0,0.0,25,2,25,2,0.0,28,22
10.128.0.4,203.221.42.137,6,64,0,80,23250,0,0.000000000,0.000000000,0x00000012,1,0,1,0,0,0,0.0,0,0.0008745193481445312,0,0.0,26,1,26,1,0.0,30,22
10.128.0.4,203.221.42.137,6,64,0,80,23127,0,0.000000000,0.000000000,0x00000012,1,0,1,0,0,0,0.0,0,0.0009136199951171875,0,0.0,27,1,27,1,0.0,32,22
203.221.42.137,10.128.0.4,6,49,1,23313,80,50,0.076193516,0.076193516,0x00000002,0,2,-2,0,102,-102,0,51.0,0.05719184875488281,51.0,0,28,2,28,2,0.0,32,24
10.128.0.4,203.221.42.137,6,64,0,80,23313,0,0.000029089,0.076222605,0x00000012,1,2,-1,0,102,-102,0.0,51.0,0.060339927673339844,51.0,0.0,29,3,29,3,0.0,34,24
203.221.42.137,10.128.0.4,6,49,1,23206,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0008864402770996094,51.0,0,30,1,30,1,0.0,34,26
10.128.0.4,203.221.42.137,6,64,0,80,23206,0,0.000037063,0.000037063,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.005231142044067383,51.0,0.0,31,2,31,2,0.0,36,26
203.221.42.137,10.128.0.4,6,49,1,23329,80,52,0.000000000,0.000000000,0x00000002,0,1,-1,0,52,-52,0,52.0,0.00087738037109375,52.0,0,32,1,32,1,0.0,36,28
10.128.0.4,203.221.42.137,6,64,0,80,23329,0,0.000039013,0.000039013,0x00000012,1,1,0,0,52,-52,0.0,52.0,0.0040433406829833984,52.0,0.0,33,2,33,2,0.0,38,28
203.221.42.137,10.128.0.4,6,49,1,23221,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0008792877197265625,50.0,0,34,1,34,1,0.0,38,30
10.128.0.4,203.221.42.137,6,64,0,80,23221,0,0.000027857,0.000027857,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.0039560794830322266,50.0,0.0,35,2,35,2,0.0,40,30
203.221.42.137,10.128.0.4,6,49,1,23279,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0009102821350097656,51.0,0,36,1,36,1,0.0,40,32
10.128.0.4,203.221.42.137,6,64,0,80,23279,0,0.000024832,0.000024832,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.004163503646850586,51.0,0.0,37,2,37,2,0.0,42,32
203.221.42.137,10.128.0.4,6,49,1,23259,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0009481906890869141,50.0,0,38,1,38,1,0.0,42,34
10.128.0.4,203.221.42.137,6,64,0,80,23259,0,0.000031168,0.000031168,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.004012346267700195,50.0,0.0,39,2,39,2,0.0,44,34
203.221.42.137,10.128.0.4,6,49,1,23161,80,51,0.000000000,0.000000000,0x00000002,0,1,-1,0,51,-51,0,51.0,0.0009336471557617188,51.0,0,40,1,40,1,0.0,44,36
10.128.0.4,203.221.42.137,6,64,0,80,23161,0,0.000023171,0.000023171,0x00000012,1,1,0,0,51,-51,0.0,51.0,0.004099130630493164,51.0,0.0,41,2,41,2,0.0,46,36
10.128.0.4,203.221.42.137,6,64,0,80,23188,0,0.000000000,0.000000000,0x00000012,1,0,1,0,0,0,0.0,0,0.0008509159088134766,0,0.0,42,1,42,1,0.0,48,36
10.128.0.4,203.221.42.137,6,64,0,22,60965,60,0.000000000,0.000000000,0x00000018,1,0,1,60,0,60,60.0,0,0.0009584426879882812,0,60.0,43,1,43,1,0.02,50,36
10.128.0.4,203.221.42.137,6,64,0,22,60965,52,0.000332001,0.000332001,0x00000018,2,0,2,112,0,112,56.0,0,0.005532503128051758,0,56.0,44,2,44,2,0.038461538461538464,52,36
203.221.42.137,10.128.0.4,6,49,1,23330,80,50,0.000000000,0.000000000,0x00000002,0,1,-1,0,50,-50,0,50.0,0.0009484291076660156,50.0,0,45,1,45,1,0.038461538461538464,52,38
10.128.0.4,203.221.42.137,6,64,0,80,23330,0,0.000019211,0.000019211,0x00000012,1,1,0,0,50,-50,0.0,50.0,0.004144191741943359,50.0,0.0,46,2,46,2,0.037037037037037035,54,38
10.128.0.4,203.221.42.137,6,64,0,22,60965,228,0.002194954,0.002526955,0x00000018,3,0,3,340,0,340,113.33333333333333,0,0.0160367488861084,0,113.33333333333333,47,3,47,3,0.05357142857142857,56,38
